Epoch_ID,Time,Satellite,C1C_m
17,2024-11-14 08:57:34,G09,20147958.535
17,2024-11-14 08:57:34,G16,23374469.598
17,2024-11-14 08:57:34,G20,23695705.523
17,2024-11-14 08:57:34,G30,22572898.129
18,2024-11-14 08:57:35,G04,21279667.348
18,2024-11-14 08:57:35,G07,21145489.051
18,2024-11-14 08:57:35,G08,23584327.309
18,2024-11-14 08:57:35,G09,20147964.785
18,2024-11-14 08:57:35,G16,23375084.848
18,2024-11-14 08:57:35,G20,23695265.758
18,2024-11-14 08:57:35,G30,22572523.469
19,2024-11-14 08:57:36,G04,21279979.246
19,2024-11-14 08:57:36,G07,21145411.168
19,2024-11-14 08:57:36,G08,23583880.676
19,2024-11-14 08:57:36,G09,20147971.328
19,2024-11-14 08:57:36,G16,23375699.957
19,2024-11-14 08:57:36,G20,23694826.281
19,2024-11-14 08:57:36,G30,22572148.527
20,2024-11-14 08:57:37,G04,21280291.273
20,2024-11-14 08:57:37,G07,21145333.41
20,2024-11-14 08:57:37,G08,23583434.457
20,2024-11-14 08:57:37,G09,20147977.848
20,2024-11-14 08:57:37,G16,23376315.195
20,2024-11-14 08:57:37,G20,23694387.215
20,2024-11-14 08:57:37,G30,22571774.281
21,2024-11-14 08:57:38,G04,21280603.688
21,2024-11-14 08:57:38,G07,21145255.469
21,2024-11-14 08:57:38,G08,23582987.91
21,2024-11-14 08:57:38,G09,20147984.477
21,2024-11-14 08:57:38,G16,23376930.676
21,2024-11-14 08:57:38,G20,23693948.398
21,2024-11-14 08:57:38,G30,22571400.426
22,2024-11-14 08:57:39,G04,21280915.789
22,2024-11-14 08:57:39,G07,21145177.648
22,2024-11-14 08:57:39,G08,23582541.484
22,2024-11-14 08:57:39,G09,20147991.363
22,2024-11-14 08:57:39,G16,23377545.992
22,2024-11-14 08:57:39,G20,23693508.695
22,2024-11-14 08:57:39,G30,22571025.832
23,2024-11-14 08:57:40,G04,21281228.156
23,2024-11-14 08:57:40,G07,21145099.66
23,2024-11-14 08:57:40,G08,23582094.891
23,2024-11-14 08:57:40,G09,20147997.945
23,2024-11-14 08:57:40,G16,23378160.855
23,2024-11-14 08:57:40,G20,23693069.117
23,2024-11-14 08:57:40,G30,22570652.219
24,2024-11-14 08:57:41,G04,21281540.645
24,2024-11-14 08:57:41,G07,21145021.648
24,2024-11-14 08:57:41,G08,23581648.418
24,2024-11-14 08:57:41,G09,20148004.93
24,2024-11-14 08:57:41,G16,23378776.699
24,2024-11-14 08:57:41,G20,23692630.371
24,2024-11-14 08:57:41,G30,22570277.578
25,2024-11-14 08:57:42,G04,21281852.965
25,2024-11-14 08:57:42,G07,21144944.188
25,2024-11-14 08:57:42,G08,23581202.926
25,2024-11-14 08:57:42,G09,20148011.75
25,2024-11-14 08:57:42,G16,23379392.086
25,2024-11-14 08:57:42,G20,23692192.172
25,2024-11-14 08:57:42,G30,22569903.34
26,2024-11-14 08:57:43,G04,21282165.551
26,2024-11-14 08:57:43,G07,21144866.562
26,2024-11-14 08:57:43,G08,23580756.84
26,2024-11-14 08:57:43,G09,20148018.691
26,2024-11-14 08:57:43,G16,23380007.887
26,2024-11-14 08:57:43,G20,23691753.527
26,2024-11-14 08:57:43,G30,22569529.23
27,2024-11-14 08:57:44,G04,21282478.266
27,2024-11-14 08:57:44,G07,21144788.633
27,2024-11-14 08:57:44,G08,23580310.734
27,2024-11-14 08:57:44,G09,20148025.762
27,2024-11-14 08:57:44,G16,23380623.523
27,2024-11-14 08:57:44,G20,23691315.582
27,2024-11-14 08:57:44,G30,22569155.102
28,2024-11-14 08:57:45,G04,21282790.809
28,2024-11-14 08:57:45,G07,21144711.109
28,2024-11-14 08:57:45,G08,23579864.746
28,2024-11-14 08:57:45,G09,20148032.945
28,2024-11-14 08:57:45,G16,23381238.992
28,2024-11-14 08:57:45,G20,23690876.891
28,2024-11-14 08:57:45,G30,22568780.805
29,2024-11-14 08:57:46,G04,21283103.746
29,2024-11-14 08:57:46,G07,21144633.695
29,2024-11-14 08:57:46,G08,23579419.156
29,2024-11-14 08:57:46,G09,20148040.383
29,2024-11-14 08:57:46,G16,23381854.43
29,2024-11-14 08:57:46,G20,23690438.312
29,2024-11-14 08:57:46,G30,22568406.473
30,2024-11-14 08:57:47,G04,21283416.398
30,2024-11-14 08:57:47,G07,21144555.992
30,2024-11-14 08:57:47,G08,23578972.992
30,2024-11-14 08:57:47,G09,20148047.535
30,2024-11-14 08:57:47,G16,23382470.438
30,2024-11-14 08:57:47,G20,23689999.73
30,2024-11-14 08:57:47,G30,22568032.855
31,2024-11-14 08:57:48,G04,21283729.465
31,2024-11-14 08:57:48,G07,21144478.559
31,2024-11-14 08:57:48,G08,23578526.957
31,2024-11-14 08:57:48,G09,20148055.098
31,2024-11-14 08:57:48,G16,23383086.715
31,2024-11-14 08:57:48,G20,23689561.852
31,2024-11-14 08:57:48,G30,22567659.082
32,2024-11-14 08:57:49,G04,21284042.199
32,2024-11-14 08:57:49,G07,21144400.938
32,2024-11-14 08:57:49,G08,23578081.016
32,2024-11-14 08:57:49,G09,20148062.617
32,2024-11-14 08:57:49,G16,23383703.09
32,2024-11-14 08:57:49,G20,23689124.496
32,2024-11-14 08:57:49,G30,22567285.117
33,2024-11-14 08:57:50,G04,21284355.34
33,2024-11-14 08:57:50,G07,21144323.867
33,2024-11-14 08:57:50,G08,23577635.34
33,2024-11-14 08:57:50,G09,20148070.258
33,2024-11-14 08:57:50,G16,23384318.867
33,2024-11-14 08:57:50,G20,23688687.262
33,2024-11-14 08:57:50,G30,22566911.414
34,2024-11-14 08:57:51,G04,21284668.609
34,2024-11-14 08:57:51,G07,21144246.496
34,2024-11-14 08:57:51,G08,23577189.648
34,2024-11-14 08:57:51,G09,20148077.738
34,2024-11-14 08:57:51,G16,23384935.207
34,2024-11-14 08:57:51,G20,23688249.441
34,2024-11-14 08:57:51,G30,22566537.273
